RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,71,68.0,4,33,10,0,0,100,125.0,7,7,10,4,50,0.0,0,0,58.0,71.0,5.0,4.0,0.0,100.0
Good,73,85.0,6,40,17,1,0,94,11.0,5,5,18,2,28,10.0,0,0,10.0,,3.0,2.0,0.0,36.0
Bad,64,51.0,6,22,15,0,0,100,125.0,7,7,24,3,25,0.0,0,0,61.0,84.0,10.0,3.0,1.0,100.0
Good,81,398.0,2,112,17,0,0,100,125.0,7,7,18,2,33,0.0,0,0,47.0,60.0,5.0,2.0,1.0,64.0
Good,66,209.0,19,89,29,0,0,83,6.0,6,6,30,0,50,3.0,1,1,43.0,74.0,8.0,8.0,1.0,94.0
Good,69,189.0,7,84,34,2,1,94,0.0,2,2,36,1,8,0.0,1,1,11.0,,3.0,2.0,2.0,29.0
Good,81,253.0,13,114,15,0,0,87,9.0,6,6,15,0,0,0.0,1,1,8.0,,1.0,2.0,0.0,17.0
Good,89,151.0,20,87,14,0,0,100,125.0,7,7,14,0,50,0.0,0,0,9.0,,1.0,2.0,0.0,60.0
Good,67,114.0,5,52,13,1,0,67,30.0,7,5,15,2,13,5.0,0,0,69.0,33.0,4.0,2.0,2.0,86.0
Bad,71,170.0,9,88,43,2,2,93,6.0,6,2,46,2,17,0.0,1,1,33.0,100.0,8.0,4.0,1.0,60.0
Good,79,177.0,4,89,21,0,0,100,125.0,7,7,21,1,29,36.0,0,0,67.0,,2.0,1.0,0.0,75.0
Good,77,194.0,17,75,18,1,1,95,29.0,7,2,19,0,53,0.0,2,2,4.0,47.0,1.0,2.0,0.0,60.0
Good,69,323.0,5,95,25,2,2,93,1.0,2,2,27,1,26,16.0,0,0,0.0,,2.0,1.0,0.0,36.0
Good,60,249.0,2,81,27,0,0,96,1.0,6,6,71,3,36,36.0,3,3,59.0,21.0,3.0,5.0,2.0,53.0
Bad,84,131.0,4,57,9,0,0,100,125.0,7,7,10,1,56,10.0,0,0,11.0,76.0,2.0,3.0,0.0,83.0
Bad,73,160.0,11,79,10,1,1,91,16.0,7,4,11,1,55,36.0,1,1,16.0,,1.0,1.0,1.0,67.0
Good,91,175.0,6,127,16,0,0,100,125.0,7,7,16,1,28,0.0,0,0,3.0,,2.0,2.0,0.0,29.0
Bad,83,129.0,5,48,4,0,0,100,125.0,7,7,4,2,50,36.0,1,1,30.0,,1.0,1.0,0.0,100.0
Bad,68,180.0,8,45,28,0,0,93,24.0,7,6,32,3,13,4.0,1,1,26.0,83.0,8.0,2.0,2.0,63.0
Good,79,305.0,1,108,25,0,0,93,39.0,7,6,29,2,31,0.0,2,2,22.0,82.0,2.0,4.0,0.0,70.0
Bad,67,269.0,10,65,22,0,0,79,3.0,6,6,24,1,33,36.0,0,0,21.0,70.0,4.0,3.0,0.0,58.0
Good,81,58.0,34,49,5,0,0,100,125.0,7,7,5,0,80,0.0,0,0,14.0,60.0,1.0,2.0,0.5,100.0
Good,78,220.0,2,76,52,0,0,98,35.0,7,6,56,2,33,2.0,2,2,13.0,,5.0,4.0,0.0,69.0
Bad,63,170.0,11,75,14,1,1,87,8.0,4,4,15,1,13,0.0,2,2,56.0,,5.0,2.0,2.0,70.0
Bad,65,146.0,7,58,29,1,1,97,63.0,7,6,33,1,39,36.0,5,5,7.0,88.0,1.0,2.0,0.0,33.0
